Height,Width,Whole_Height,Height/Whole,Height/Avg,Slice,Width/Whole,Width/Avg
0,0,0,0,0,1,0,0
165,159,4113,0.04011670314,0.03915683674,2,0.03865791393,0.03773295177
335,261,4084,0.08202742409,0.07950024429,3,0.0639079334,0.0619389963
524,344,3972,0.1319234642,0.1243526209,4,0.08660624371,0.08163607175
595,372,3992,0.1490480962,0.1412019264,5,0.09318637275,0.08828086829
794,463.0992059,4213.823529,0.1885,0.1803,6,0.1099,0.1048
854,536.4197353,4213.823529,0.2029,0.1956,7,0.1273,0.1226
920,635,4072,0.2259332024,0.2183290291,8,0.1559430255,0.1506944929
984,613,4190,0.2348448687,0.2335171355,9,0.146300716,0.1454735813
1021,738,3980,0.2565326633,0.2422977595,10,0.1854271357,0.1751378516
1080,741,3998,0.2701350675,0.256299295,11,0.1853426713,0.1758497941
1142,781,3937,0.2900685801,0.2710127731,12,0.1983743967,0.1853423606
1238,858,4143,0.2988172822,0.2937949326,13,0.207096307,0.2036155511
1375,868,4023,0.3417847378,0.3263069728,14,0.2157593835,0.2059886927
1374,959,4152,0.3309248555,0.3260696587,15,0.230973025,0.2275842814
1407,1006,4243,0.3316049965,0.333901026,16,0.2370963941,0.238738047
1504,1029,4486,0.3352652697,0.3569204998,17,0.2293802942,0.2441962728
1522,1044.606853,4213.823529,0.3613,0.3639,18,0.2479,0.2468
1582,1084.216794,4213.823529,0.3757,0.3792,19,0.2573,0.2566
1659,1184,4289,0.3868034507,0.3937041949,20,0.2760550245,0.2809799679
1697,1101,4335,0.3914648212,0.402722133,21,0.2539792388,0.2612828924
1689,1243,4194,0.4027181688,0.4008236197,22,0.2963757749,0.2949815035
1711,1212,4175,0.4098203593,0.4060445313,23,0.2902994012,0.2876247644
1807,1234,4277,0.4224924012,0.4288266909,24,0.2885199906,0.292845676
1867,1286,4265,0.4377491208,0.4430655406,25,0.3015240328,0.3051860124
1873,1262,4337,0.4318653447,0.4444894256,26,0.2909845515,0.2994904725
1959,1300,4267,0.4591047574,0.4648984435,27,0.3046636981,0.3085084107
1992,1323,4097,0.4862094215,0.4727298108,28,0.3229192092,0.3139666364
2037,1339,4275,0.4764912281,0.4834089481,29,0.3132163743,0.317763663
2068,1289.008618,4213.823529,0.4909,0.5016,30,0.3059,0.3088
2128,1294.907971,4213.823529,0.5053,0.5169,31,0.3073,0.3106
2168,1390,4284,0.5060690943,0.5144971034,32,0.3244631186,0.3298666853
2199,1367,4319,0.5091456356,0.5218538424,33,0.316508451,0.3244084596
2279,1421,4388,0.5193710119,0.5408389754,34,0.3238377393,0.3372234243
2323,1391,4346,0.5345144961,0.5512807985,35,0.3200644271,0.3301039994
2325,1400,4352,0.5342371324,0.5517554268,36,0.3216911765,0.3322398269
2318,1388,4377,0.5295864748,0.5500942277,37,0.3171121773,0.329392057
2418,1403,4367,0.553698191,0.5738256439,38,0.3212731853,0.3329517694
2420,1376,4277,0.5658171616,0.5743002722,39,0.3217208324,0.326544287
2498,1370,4357,0.5733302731,0.5928107769,40,0.3144365389,0.325120402
2557,1343,4307,0.5936846993,0.6068123124,41,0.3118179707,0.3187129197